Posición,Titulos,Rating,Año,Duración
1,1. Cadena perpetua,9.3,1994,2h 22m
2,2. El padrino,9.2,1972,2h 55m
3,3. El caballero oscuro,9.0,2008,2h 32m
4,4. El padrino parte II,9.0,1974,3h 22m
5,5. 12 hombres sin piedad,9.0,1957,1h 36m
6,6. El señor de los anillos: El retorno del rey,9.0,2003,3h 21m
7,7. La lista de Schindler,9.0,1993,3h 15m
8,8. Pulp Fiction,8.9,1994,2h 34m
9,9. El señor de los anillos: La comunidad del anillo,8.9,2001,2h 58m
10,"10. El bueno, el feo y el malo",8.8,1966,3h 2m
11,11. Forrest Gump,8.8,1994,2h 22m
12,12. El señor de los anillos: Las dos torres,8.8,2002,2h 59m
13,13. El club de la lucha,8.8,1999,2h 19m
14,14. Origen,8.8,2010,2h 28m
15,15. El imperio contraataca,8.7,1980,2h 4m
16,16. Matrix,8.7,1999,2h 16m
17,17. Uno de los nuestros,8.7,1990,2h 25m
18,18. Alguien voló sobre el nido del cuco,8.7,1975,2h 13m
19,19. Interstellar,8.7,2014,2h 49m
20,20. Seven,8.6,1995,2h 7m
21,21. ¡Qué bello es vivir!,8.6,1946,2h 10m
22,22. Los siete samuráis,8.6,1954,3h 27m
23,23. El silencio de los corderos,8.6,1991,1h 58m
24,24. Salvar al soldado Ryan,8.6,1998,2h 49m
25,25. Ciudad de Dios,8.6,2002,2h 10m
